UNI00025-1|2|1
UNI00026-1|2|1
ME1300009-1|2|1
UNI00027-1|2|1
UNI00028-1|2|1
UNI00029-1|2|1
UNI00030-1|2|1
UNI00031-1|2|1
UNI00032-1|2|1
UNI00033-1|2|1
UNI00034-1|2|1
UNI00035-1|2|1
UNI00036-1|2|1
UNI00037-1|2|1
UNI00038-1|2|1
UNI00039-1|2|1
UNI00041-1|2|1
UNI00042-1|2|1
UNI00045-1|2|1
UNI00046-1|2|1
UNI00049-1|2|1
UNI00050-1|2|1
UNI00051-1|2|1
UNI00052-1|2|1
UNI00053-1|2|1
UNI00056-1|2|1
UNI00057-1|2|1
UNI00058-1|2|1
UNI00059-1|2|1
UNI00060-1|2|1
UNI00061-1|2|1
UNI00066-1|2|1
UNI00067-1|2|1
UNI00062-1|2|1
UNI00068-1|2|1
UNI00069-1|2|1
UNI00071-1|2|1
UNI00072-1|2|1
UNI00075-1|2|1
UNI00076-1|2|1
UNI00077-1|2|1
UNI00078-1|2|1
UNI00079-1|2|1
UNI00080-1|2|1
UNI00081-1|2|1
UNI00082-1|2|1
UNI00083-1|2|1
UNI00084-1|2|1
UNI00085-1|2|1
UNI00086-1|2|1
UNI00087-1|2|1
UNI00088-1|2|1
UNI00089-1|2|1
UNI00090-1|2|1
UNI00091-1|2|1
UNI00092-1|2|1
UNI00093-1|2|1
UNI00094-1|2|1
UNI00095-1|2|1
UNI00096-1|2|1
UNI00097-1|2|1
UNI00098-1|2|1
UNI00099-1|2|1
UNI00100-1|2|1
UNI00101-1|2|1
UNI00102-1|2|1
UNI00103-1|2|1
UNI00104-1|2|1
UNI00105-1|2|1
UNI00106-1|2|1
UNI00107-1|2|1
UNI00108-1|2|1
TPK90600-3039-1|2|1
UNI00110-1|2|1
PLO00025-1|2|1
UNI00111-1|2|1
UNI00112-1|2|1
UNI00113-1|2|1
UNI00114-1|2|1
UNI00115-1|2|1
UNI00117-1|2|1
UNI00124-1|2|1
UNI00125-1|2|1
UNI00126-1|2|1
UNI00127-1|2|1
UNI00128-1|2|1
UNI00130-1|2|1
UNI00131-1|2|1
UNI00132-1|2|1
UNI00133-1|2|1
UNI00135-1|2|1
SERG-186-1|2|1
UNI00136-1|2|1
UNI00137-1|2|1
UNI00138-1|2|1
UNI00141-1|2|1
UNI00143-1|2|1
UNI00144-1|2|1
UNI00145-1|2|1
UNI00146-1|2|1
UNI00147-1|2|1
UNI00148-1|2|1
UNI00149-1|2|1
UNI00150-1|2|1
UNI00151-1|2|1
UNI00152-1|2|1
UNI00153-1|2|1
UNI00154-1|2|1
UNI00155-1|2|1
UNI00156-1|2|1
UNI00157-1|2|1
UNI00158-1|2|1
UNI00159-1|2|1
UNI00160-1|2|1
UNI00161-1|2|1
UNI00162-1|2|1
UNI00163-1|2|1
UNI00164-1|2|1
UNI00165-1|2|1
UNI00166-1|2|1
COR00008-1|2|1
UNI00167-1|2|1
UNI00168-1|2|1
UNI00169-1|2|1
SERG-167-1|2|1
UNI00170-1|2|1
UNI00171-1|2|1
UNI00172-1|2|1
UNI00173-1|2|1
UNI00174-1|2|1
UNI00175-1|2|1
UNI00176-1|2|1
UNI00178-1|2|1
ANG00003-1|2|1
CAD00001-1|2|1
CAD00002-1|2|1
CAD00003-1|2|1
CAD00004-1|2|1
CAD00005-1|2|1
CAD00006-1|2|1
CAD00007-1|2|1
CAD00008-1|2|1
CAD00010-1|2|1
CAD00011-1|2|1
CAD00012-1|2|1
CAD00013-1|2|1
CAD00014-1|2|1
CAD00015-1|2|1
CAD00016-1|2|1
CAD00017-1|2|1
CAD00018-1|2|1
CAD00019-1|2|1
